id,lemma,V1 frame,UMR,synset_id,URI lemma,roles,example,definition,notes,gramm_info,additional notes (not for processing),,
SlaT-3161-n16,accipio,v#v-w217_MPf33_MP,accipio-16,v#02236124,87119,"ACT, ORIG, PAT",cum Catilina data atque accepta fide,,,,different frame than other accipio-16,,
SlaT-3162-n1,do,v#v-w72_MPf24_MP,do-20,v#02230772,99970,"ACT, ADDR, PAT",ipse Volturcio litteras ad Catilinam dat,,,,,,
SlaT-3162-n6,scribo,v#v-w603_MPf6_MP,scribo-03,v#01000214,123840,"ACT, PAT",litteras [...] quarum exemplum infra scriptum est,,,,,,
SlaT-3163-n1,cognosco,v#v-w118_MPf25_MP,cognosco-06,v#00598954,94738,"ACT, PAT","qui sim, ex eo, quem ad te misi, cognosces",,,,,,
SlaT-3163-n2,sum,v#v-w2_MPf119_MP,have-identity-91,,,,,,,,,,
SlaT-3163-n5,mitto,v#v-w228_MPf11_MP,mitto-18,v#01955127,112499,"ACT, INTT, PAT","ex eo, quem ad te misi",,,,different frame than other mitto-18,,
SlaT-3164-n1,facio,v#v-w76_MPf54_MP,facio-23,v#01712704,102758,"ACT, PAT","fac cogites, in quanta calamitate sis",,,,,,
SlaT-3164-n3,cogito,v#v-w185_MPf19_MP,cogito2-04,v#00629889,97288,"ACT, REG","fac cogites, in quanta calamitate sis",,,,,,
SlaT-3164-n4,sum,v#v-w2_MPf128_MP,have-place-91,,,,,,,,,,
SlaT-3164-n7,memini,v#v-w1340_MPf1_MP,memini-02/memini-03,v#00609506/v#00609683,111991,"ACT, PAT",memineris te virum esse,,merge,,,,
SlaT-3164-n8,sum,v#v-w2_MPf100_MP,have-identity-91,,,,,,,,,,
3165a1,facio,v#v-w76_MPf54_MP,facio-23,v#01712704,102758,"ACT, PAT","fac cogites, in quanta calamitate sis",,,,,,
SlaT-3165-n1,considero,v#v-w27_MPf11_MP,considero-03,v#00711715,96054,"ACT, PAT","consideres, quid tuae rationes postulent",,,,,,
SlaT-3165-n2,postulo,v#v-w768_MPf12_MP,postulo-06,v#01188725,118629,"ACT, PAT","consideres, quid tuae rationes postulent",,,,,,
3166a1,facio,v#v-w76_MPf54_MP,facio-23,v#01712704,102758,"ACT, PAT","fac cogites, in quanta calamitate sis",,,,,,
SlaT-3166-n1,peto,v#v-w564_MPf8_MP,peto-03,v#00752493,117549,"ACT, ADDR, PAT",auxilium petas ab omnibus,,,,,,
SlaT-3166-n2,auxilium,v#v-w1110_MPf6_MP,auxilior-03,v#02547586,,"ACT, PAT",auxilium petas ab omnibus,,,,,,
SlaT-3167-n1,do,v#v-w72_MPf32_MP,do-02,v#00742320,99970,"ACT, ADDR, PAT",ad hoc mandata verbis dat,,,,,,
SlaT-3167-n3,mando,v#v-w788_MPf5_MP,mando-01,v#00746718,111470,"ACT, ADDR, PAT",ad hoc mandata verbis dat,,,,,,
3168a1,do,v#v-w72_MPf33_MP,do-02,v#00742320,99970,"ACT, ADDR, PAT",ad hoc mandata verbis dat,,,,,,
SlaT-3168-n1,repudio,v#v-w1341_MPf1_MP,repudio-04,v#00796976,122688,"ACT, PAT",quo consilio servitia repudiet?,,,,,,
SlaT-3168-n2,iudico,v#v-w456_MPf6_MP,iudico-10,v#00822367,109171,"ACT, REG",ab senatu hostis iudicatus sit,,"Eleonora: V1 ha (ragionevolmente) ACT(obl), PAT(obl), EFF(obl). solo 1 frame in V2 ha eff (deem to be). quello che si avvicina di più è 10. come concilio?",,,,
SlaT-3168-n5,consilium,v#v-w316_MPf1_MP,,,,,,,NON-EVENT,,,,
3169a1,do,v#v-w72_MPf13_MP,do-02,v#00742320,99970,"ACT, ADDR, PAT",ad hoc mandata verbis dat,,,,,,
SlaT-3169-n1,sum,v#v-w2_MPf111_MP,have-mod-91,,,,,,,,,,
SlaT-3169-n3,paro,v#v-w572_MPf4_MP,paro-01,v#00406243,116061,"ACT, PAT",in urbe parata esse quae iusserit,,,,,,
SlaT-3169-n4,iubeo,v#v-w563_MPf4_MP,iubeo-02/iubeo-04,v#00746718/v#00747135,109152,"ACT, ADDR, PAT",in urbe parata esse quae iusserit,,merge,,,,
3170a1,do,v#v-w72_MPf34_MP,do-02,v#00742320,99970,"ACT, ADDR, PAT",ad hoc mandata verbis dat,,,,,,
SlaT-3170-n1,cunctor,v#v-w1342_MPf1_MP,cunctor-04,v#02058590,97248,ACT,ne cunctetur ipse propius adcedere,,"Eleonora: V1 ha (ragionevolmente) ACT(obl), PAT(obl). solo 1 frame in V2 ha PAT, ma altro significato. che faccio?",,,,
SlaT-3170-n3,accedo,v#v-w75_MPf7_MP,accedo-05/accedo-06,v#01992503/v#01994288,87084,"ACT, DIR3",ne cunctetur ipse propius adcedere,,,,,,
Par. 45,,,,,,,,,,,,,
SlaT-3171-n1,impero,v#v-w601_MPf6_MP,impero-03,v#00747135,106539,"ACT, ADDR, PAT","L. Valerio Flacco et C. Pomptino praetoribus imperat, ut in ponte Muluio per Allobrogum comitatus deprehendant",,,,different frame than other impero-03,,
SlaT-3171-n2,ago,v#v-w250_MPf19_MP,ago-17,v#02367363,88140,"ACT, PAT",his rebus ita actis,,,,,,
SlaT-3171-n6,constituo,v#v-w605_MPf11_MP,constituo-22,v#01647543,96146,"ACT, PAT",constituta nocte qua proficiscerentur,,,,,,
SlaT-3171-n8,proficiscor,v#v-w645_MPf16_MP,proficiscor-06/proficiscor-07/proficiscor-08,v#02008396/v#02009433/v#02014165,119713,ACT,constituta nocte qua proficiscerentur,,,,,,
SlaT-3171-n11,edoceo,v#v-w553_MPf4_MP,edoceo-03,v#00873682,100579,"ACT, ADDR, PAT",Cicero per legatos cuncta edoctus,,,,,,
SlaT-3171-n23,deprehendo,v#v-w797_MPf2_MP,deprehendo-07,v#01215137,98781,"ACT, PAT","L. Valerio Flacco et C. Pomptino praetoribus imperat, ut in ponte Muluio per Allobrogum comitatus deprehendant",,,,,,
SlaT-3172-n1,aperio,v#v-w699_MPf4_MP,aperio-03,v#00933821,89397,"ACT, PAT",rem omnem aperit,,,,,,
SlaT-3172-n4,mitto,v#v-w228_MPf37_MP,mitto-18,v#01955127,112499,"ACT, INTT, PAT","rem omnem aperit, cuius gratia mittebantur",,,,,,
SlaT-3173-n1,permitto,v#v-w107_MPf6_MP,permitto-07,v#02423183,117085,"ACT, EFF, PAT","cetera, uti facto opus sit, ita agant permittit",,,,,,
SlaT-3173-n2,ago,v#v-w250_MPf17_MP,ago-17,v#02367363,88140,"ACT, PAT","cetera, uti facto opus sit, ita agant permittit",,,,,,
SlaT-3173-n5,opus,v#v-w1019_MPf3_MP,opus-est-NEW-01,v#01188725,115170,"ACT, PAT",uti facto opus sit,have need of,,,"I would not use this frame, but either an abstract predicate (so far not existing) or an equivalent of smth like need-01, verbal, che però in latino non sembra esistere. what about opus-est-01? former opus-23.",,
SlaT-3173-n6,facio,v#v-w76_MPf30_MP,facio-02,v#00014549,102758,ACT,uti facto opus sit,,,,,,
SlaT-3174-n1,obsido,v#v-w1270_MPf3_MP,obsido-03,v#01126700,114432,"ACT, PAT",pontem obsidunt,,,,,,
SlaT-3174-n6,conloco,v#v-w1090_MPf3_MP,colloco-21,v#02333689,94872,"ACT, PAT",praesidiis conlocatis,,,,,,
SlaT-3174-n9,praecipio,v#v-w171_MPf5_MP,praecipio-03,v#00747135,118735,"ACT, EFF, PAT",sicuti praeceptum erat,,,,,,
SlaT-3175-n3,venio,v#v-w34_MPf15_MP,uenio-07,v#02005948,129790,"ACT, DIR1, DIR3",ad id loci legati cum Volturcio venerunt,,,,different frame than other uenio-07,,
SlaT-3175-n8,exorior,v#v-w1343_MPf1_MP,exorior-11,v#02625786,102103,"ACT, DIR1",clamor exortus est,,,,,,
SlaT-3175-n12,trado,v#v-w148_MPf10_MP,trado-05,v#01115585,128519,"ACT, ADDR, PAT",Galli [...] praetoribus se tradunt,,,,,,
